Algorithm,Iteration,Lumens Config,Watts Config,Energy,Uniformity (IUDI),Avg Desk Lux,Objective
PSO_5_9_0.9,1,"[3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400
 3400 3400 3400 3400]","[np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606)]",493.2,0.71,[612. 618. 625. 651. 645. 634.],0.23453888888888885
PSO_5_9_0.9,2,"[3554.16389122   65.192645    393.3291928  1126.1707605   941.56008057
 1670.67153431  337.69901412  864.80896988  957.19902606 1201.143474
 1411.27343283  522.87017955 1273.05152906 1824.95055324  398.28528106
 1427.69638414 2914.82891807 1973.16739148]","[np.float64(28.639515642424605), np.float64(0.5253234891190806), np.float64(3.1694536083606635), np.float64(9.074703952484697), np.float64(7.587107820910269), np.float64(13.46230084056594), np.float64(2.7211846424157797), np.float64(6.968646010341787), np.float64(7.713126720909235), np.float64(9.678835406947625), np.float64(11.372066340252665), np.float64(4.2132971760375275), np.float64(10.258271789345205), np.float64(14.705483910044125), np.float64(3.209389855416597), np.float64(11.504402773073316), np.float64(23.48774309487371), np.float64(15.899817820177292)]",184.3,0.41,[335. 194. 212. 142. 184. 232.],1.84295725308642
PSO_5_9_0.9,3,"[2865.82009342 2122.50355347 2078.99731927  258.70520541  819.75728083
 2856.17188888 3182.54957209 3021.23092604 2149.76925077 1040.96556546
   14.35392938 3119.33244005 2525.48780107  432.11108598  992.05841283
 3406.1598359   104.40936997 2561.08100181]","[np.float64(23.09282911696414), np.float64(17.10317126087752), np.float64(16.752597254361596), np.float64(2.084651131450253), np.float64(6.605618701269981), np.float64(23.01508371374915), np.float64(25.645040870988872), np.float64(24.34513236135721), np.float64(17.32287873305582), np.float64(8.388118980330356), np.float64(0.11566421743555892), np.float64(25.135636100356756), np.float64(20.350425471995205), np.float64(3.481958791128878), np.float64(7.994024277422061), np.float64(27.446896340886607), np.float64(0.8413325541333443), np.float64(20.637236114466294)]",270.2,0.26,[301. 269. 472. 466. 358. 249.],3.6574663580246916
PSO_5_9_0.9,4,"[ 231.31544137 1688.55334678  666.79347642  128.74158537   73.17922131
  240.13690449  508.77306609 1007.16570537 3428.48744892 3595.629406
  574.13974503  291.88426118  182.82944714 2842.93777843 1541.1441933
 2194.74880392 1526.48722154  827.91577981]","[np.float64(1.8639439272692786), np.float64(13.606392802412609), np.float64(5.373033653634201), np.float64(1.0374019771647964), np.float64(0.5896794625886408), np.float64(1.9350274334788684), np.float64(4.099702385895139), np.float64(8.115759108502361), np.float64(27.62681264237749), np.float64(28.973645495578584), np.float64(4.626428243588759), np.float64(2.3520085509670405), np.float64(1.4732429262205684), np.float64(22.90844301720091), np.float64(12.418567230421395), np.float64(17.6853247697104), np.float64(12.300461092149174), np.float64(6.671360030695424)]",173.7,0.27,[173. 220. 175. 219. 275. 348.],3.362656944444444
PSO_5_9_0.9,5,"[1260.53702274 3431.38384391 1415.64518093  477.35813009 2727.33189425
 2160.45481381 2987.7209476  1060.94472717 1545.32379118 2170.61096692
 3569.54138619 2281.23206481  399.21330761 1764.13509562 2451.17735852
  136.48170475 1498.42816374 3024.9435635 ]","[np.float64(10.157429675615917), np.float64(27.65015184458838), np.float64(11.407293963943381), np.float64(3.8465602746944696), np.float64(21.976888753018823), np.float64(17.4089831894047), np.float64(24.07510836103085), np.float64(8.549111419589389), np.float64(12.452246504308631), np.float64(17.490821651243163), np.float64(28.76342776946592), np.float64(18.38220841912716), np.float64(3.2168679098709276), np.float64(14.215431874472717), np.float64(19.751630608517583), np.float64(1.0997719963847037), np.float64(12.074360707036524), np.float64(24.375048859798696)]",277.1,0.4,[335. 426. 488. 411. 263. 338.],2.1306807098765432
PSO_5_9_0.9,6,"[   0.            0.         3600.            0.         3600.
 3600.          992.96112666 3243.13635219    0.         1104.85309428
 3600.            0.            0.         3600.         1789.04926356
    0.         1750.20262476 2617.74843513]","[np.float64(0.0), np.float64(0.0), np.float64(29.008863819500405), np.float64(0.0), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(8.001298361485912), np.float64(26.133250219074096), np.float64(0.0), np.float64(8.902925820136458), np.float64(29.008863819500405), np.float64(0.0), np.float64(0.0), np.float64(29.008863819500405), np.float64(14.416190681397168), np.float64(0.0), np.float64(14.103163777250384), np.float64(21.0938632967523)]",237.6,0.23,[303. 352. 351. 384. 307. 267.],3.9250333333333334
PSO_5_9_0.9,7,"[ 880.36853264    0.            0.          403.10380893    0.
    0.           92.31098186 3240.68676258    0.           25.43774398
 1808.7670255  2508.22032619 1570.48554685 2607.39374943    0.
 3600.         1768.91920335  359.05281607]","[np.float64(7.09402524285779), np.float64(0.0), np.float64(0.0), np.float64(3.248217638466672), np.float64(0.0), np.float64(0.0), np.float64(0.7438435282693863), np.float64(26.113511382633135), np.float64(0.0), np.float64(0.20497779190207963), np.float64(14.575076756653335), np.float64(20.211283853245533), np.float64(12.655000377512193), np.float64(21.010425055836052), np.float64(0.0), np.float64(29.008863819500405), np.float64(14.25398229936712), np.float64(2.8932539570520945)]",152.0,0.33,[276.  286.   87.9 192.  186.  102. ],43.8710987654321
PSO_5_9_0.9,8,"[ 311.73287248  169.67422056  230.62794211    0.         3322.96094626
 3062.74973554 1742.67857995 3600.         2423.45193409 1091.7258135
 1977.50977012 3070.79488561 1031.38403346 3600.          121.87229397
 1717.23752602    0.         2931.06658841]","[np.float64(2.511949012695904), np.float64(1.3672378771608178), np.float64(1.8584040459710012), np.float64(0.0), np.float64(26.776478213187545), np.float64(24.67969166431914), np.float64(14.042534890852943), np.float64(29.008863819500405), np.float64(19.52821864698791), np.float64(8.79714595886939), np.float64(15.934808784235825), np.float64(24.744519626185657), np.float64(8.310910825611504), np.float64(29.008863819500405), np.float64(0.9820491053091683), np.float64(13.837530427232416), np.float64(0.0), np.float64(23.6185865302825)]",244.9,0.32,[303. 359. 372. 314. 307. 329.],2.949013734567901
PSO_5_9_0.9,9,"[   0.         3365.89812101    0.          114.92765731  755.32275395
    0.         1693.91011934 1139.20378141  372.07398155 3600.
  568.10696634    0.         3321.03199271 3600.         3549.15730252
 1200.59001131 2955.9344762     0.        ]","[np.float64(0.0), np.float64(27.12246672854224), np.float64(0.0), np.float64(0.9260890999637073), np.float64(6.08640414144972), np.float64(0.0), np.float64(13.649557770658632), np.float64(9.179724266019779), np.float64(2.9981787393167516), np.float64(29.008863819500405), np.float64(4.577816005979982), np.float64(0.0), np.float64(26.76093467127688), np.float64(29.008863819500405), np.float64(28.59917246192513), np.float64(9.674375594742997), np.float64(23.818972410919294), np.float64(0.0)]",211.4,0.3,[316. 319. 259. 302. 161. 276.],3.1048570987654323
PSO_5_9_0.9,10,"[ 285.48910236 2266.93343842 1712.88103479    0.         3600.
 1447.73065731 3600.            0.         1549.07885695  941.85615781
 3600.          218.95725067    0.            0.         3600.
    0.           22.55063093 1288.78278061]","[np.float64(2.3004762478501), np.float64(18.266989834131763), np.float64(13.802425743674435), np.float64(0.0), np.float64(29.008863819500405), np.float64(11.665839301466562), np.float64(29.008863819500405), np.float64(0.0), np.float64(12.48250489077726), np.float64(7.589493616510941), np.float64(29.008863819500405), np.float64(1.7643614075127412), np.float64(0.0), np.float64(0.0), np.float64(29.008863819500405), np.float64(0.0), np.float64(0.18171338380270197), np.float64(10.385034493197574)]",194.6,0.31,[197. 309. 361. 341. 204. 288.],2.962683024691358
PSO_5_9_0.9,11,"[   0.            0.         3600.            0.         3600.
 3600.         2402.87576892 3324.2996792     0.            0.
 3600.            0.            0.         3600.          642.08139412
    0.          379.75616064 3167.93123304]","[np.float64(0.0), np.float64(0.0), np.float64(29.008863819500405), np.float64(0.0), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(19.362415543252634), np.float64(26.78726574698454), np.float64(0.0), np.float64(0.0), np.float64(29.008863819500405), np.float64(0.0), np.float64(0.0), np.float64(29.008863819500405), np.float64(5.173903256434583), np.float64(0.0), np.float64(3.0600818746546756), np.float64(25.52724603576801)]",225.0,0.24,[304. 312. 420. 429. 300. 212.],3.7909027777777777
