Algorithm,Iteration,Lumens Config,Watts Config,Energy,Uniformity (IUDI),Avg Desk Lux,Objective
PSO_5_9_0.9,1,"[3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400
 3400 3400 3400 3400]","[np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606)]",493.2,0.71,[612. 618. 625. 651. 645. 634.],0.23453888888888885
PSO_5_9_0.9,2,"[ 398.0111558  1680.8676798  1219.79534364 1965.26504686 3587.67515123
 3181.49089273 3444.78372057 1900.59906509 1432.37391757 1875.6109167
 1953.59161245 2449.84856514   82.23325105 1089.348289   3318.09789117
  509.76195203 1739.55263273 2994.54235495]","[np.float64(3.2071809492652847), np.float64(13.544461561648093), np.float64(9.829132503174261), np.float64(15.83614058714436), np.float64(28.909549969581477), np.float64(25.636510013928802), np.float64(27.75812828823398), np.float64(15.315060959650822), np.float64(11.542094420374157), np.float64(15.113706016955287), np.float64(15.742075845707433), np.float64(19.74092316792157), np.float64(0.6626369947642301), np.float64(8.777987824318426), np.float64(26.737291629084606), np.float64(4.107670846303978), np.float64(14.017345952711754), np.float64(24.130075382366087)]",280.3,0.27,[207. 381. 479. 403. 339. 409.],3.566809104938271
PSO_5_9_0.9,3,"[1726.55724251  128.43219467 1353.1628861  1800.46145406 1430.08785641
 3022.42917323 3598.49102513 1965.73068592 2355.4273548  3001.43993664
 2164.11828837 1182.23462991 2466.44351087 1820.83271051 2580.18438344
 2240.78114497 2441.88500162 1316.90270803]","[np.float64(13.912628867934297), np.float64(1.0349089014767217), np.float64(10.90381052460255), np.float64(14.508150314738284), np.float64(11.52367329901833), np.float64(24.35478785845498), np.float64(28.99670447322655), np.float64(15.839892714902723), np.float64(18.980075381183216), np.float64(24.185656217853232), np.float64(17.438503532412216), np.float64(9.526467606005857), np.float64(19.874645534836965), np.float64(14.672302260338459), np.float64(20.791171502335608), np.float64(18.05625418990885), np.float64(19.676752631943295), np.float64(10.611625366865228)]",294.9,0.54,[356. 344. 386. 369. 377. 414.],0.6247699074074069
PSO_5_9_0.9,4,"[1305.88554478 2003.11742299 2483.48693124 2627.08136118 1941.33534412
  405.22010554   79.64000072  666.27436528 1853.26037807 1913.61911368
 1594.11215525 3554.92349711 1228.08479041 1000.71459253 3154.70293503
 1818.23664956  136.26844929 2777.34986674]","[np.float64(10.522848870092165), np.float64(16.141155704979067), np.float64(20.011981718264177), np.float64(21.169068180342045), np.float64(15.643314618194653), np.float64(3.265270793997137), np.float64(0.6417405375974371), np.float64(5.368850646889192), np.float64(14.933604980424093), np.float64(15.41997674201089), np.float64(12.845384006834193), np.float64(28.645636560136957), np.float64(9.895929012148214), np.float64(8.063775926904347), np.float64(25.420652175908796), np.float64(14.651383155223668), np.float64(1.098053580061284), np.float64(22.379934462071123)]",246.0,0.33,[265. 414. 260. 287. 361. 377.],2.84112037037037
PSO_5_9_0.9,5,"[ 968.58027617   93.06528261 3120.91634426 1415.77814849 2978.24891505
  484.54597046 3155.64171636 1714.79052592  711.47800156 2607.66993632
 1315.74292406  341.78113909  952.76942278 2284.59149628 1331.64278569
 2906.73296097 2845.52013658 3596.64008288]","[np.float64(7.804837036025456), np.float64(0.7499216970766206), np.float64(25.148399228501013), np.float64(11.408365418945397), np.float64(23.998782554783745), np.float64(3.904480019829088), np.float64(25.428216892525484), np.float64(13.81781245701311), np.float64(5.7331023493867415), np.float64(21.012650574665255), np.float64(10.602279807054078), np.float64(2.754078477764937), np.float64(7.677432899113388), np.float64(18.409278777444907), np.float64(10.730401173995451), np.float64(23.422505729041173), np.float64(22.92925170492361), np.float64(28.9817895477607)]",264.3,0.29,[258. 251. 345. 389. 345. 394.],3.31616712962963
PSO_5_9_0.9,6,"[   0.          451.93036719 1404.75506909    0.         1548.28890677
 2620.94396634 1728.54241355 3600.         3600.         3307.63116629
 2675.898713   3027.48046661  559.02294994 1319.98050464 3315.22412863
  351.46053364 3600.         2677.97659658]","[np.float64(0.0), np.float64(3.6416629104650116), np.float64(11.319541249732717), np.float64(0.0), np.float64(12.476139458222644), np.float64(21.119612943953612), np.float64(13.928625411384848), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(26.65295057442649), np.float64(21.562439266713472), np.float64(24.395491270007035), np.float64(4.504616840768385), np.float64(10.636426306537844), np.float64(26.714134799614836), np.float64(2.832075210663282), np.float64(29.008863819500405), np.float64(21.57918288946624)]",288.3,0.2,[235. 428. 353. 375. 411. 419.],4.352130092592593
PSO_5_9_0.9,7,"[   0.            0.            0.         3380.84904581 2892.52608403
 2842.60046134 2868.81640729  372.77787397 2997.53607998 3600.
 2458.24484083 1575.72298799    0.          846.35384189 2057.59058312
 3020.6979726   258.5754057   879.37631917]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(27.242941545603884), np.float64(23.308026462771394), np.float64(22.905724910061824), np.float64(23.11697346727366), np.float64(3.0038507169514213), np.float64(24.154198871688862), np.float64(29.008863819500405), np.float64(19.808580506323402), np.float64(12.697203771033312), np.float64(0.0), np.float64(6.81993426178015), np.float64(16.580101394990397), np.float64(24.34083781308109), np.float64(2.083605203040102), np.float64(7.086029969106843)]",242.1,0.17,[165. 294. 299. 222. 356. 542.],4.593651388888889
PSO_5_9_0.9,8,"[1127.37616643  198.98277275    0.          170.50101671 1432.91115194
 1478.15902082 1303.8397174  2111.40711385  187.76715819 3600.
 1739.62459161 3600.         3600.         2799.44218846  301.96926957
    0.         2844.30275848 3600.        ]","[np.float64(9.084417134835746), np.float64(1.6034067102893703), np.float64(0.0), np.float64(1.3739002152568462), np.float64(11.546423464503736), np.float64(11.911031594033098), np.float64(10.506363556821995), np.float64(17.01375595370128), np.float64(1.5130310893506458), np.float64(29.008863819500405), np.float64(14.017925798663072), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(22.55795478212546), np.float64(2.4332737274223946), np.float64(0.0), np.float64(22.919442050593858), np.float64(29.008863819500405)]",242.4,0.37,[395. 357. 325. 226. 166. 288.],2.394225925925926
PSO_5_9_0.9,9,"[3563.31484599 1100.89127742    0.           99.80751809 3600.
    0.         1034.40852297 3600.         3600.         1379.5518527
    0.         3600.            0.         2735.00439314 3600.
 1158.06578264    0.            0.        ]","[np.float64(28.71325419811276), np.float64(8.87100142967375), np.float64(0.0), np.float64(0.8042507501102513), np.float64(29.008863819500405), np.float64(0.0), np.float64(8.335282215720055), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(11.116453285226465), np.float64(0.0), np.float64(29.008863819500405), np.float64(0.0), np.float64(22.03871388506521), np.float64(29.008863819500405), np.float64(9.33171460629939), np.float64(0.0), np.float64(0.0)]",234.1,0.24,[292. 418. 155. 308. 360. 395.],3.808330401234568
PSO_5_9_0.9,10,"[ 910.00226514    0.         3600.         3600.         3600.
 3600.         3600.         3517.58562044 2612.48796373 3600.
  885.50210672    0.          571.25768961  469.66263275 1323.73782743
 1169.32373661 3321.26580097 3373.39570881]","[np.float64(7.332814384721315), np.float64(0.0), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(28.344767287954838), np.float64(21.051474324992014), np.float64(29.008863819500405), np.float64(7.135391673815745), np.float64(0.0), np.float64(4.603204589905878), np.float64(3.784549820745136), np.float64(10.666702880138196), np.float64(9.422431398990158), np.float64(26.76281870238258), np.float64(27.182882423915554)]",320.3,0.16,[172. 173. 469. 504. 578. 598.],4.853414043209876
