Algorithm,Iteration,Lumens Config,Watts Config,Energy,Uniformity (IUDI),Avg Desk Lux,Objective
PSO_5_9_0.9,1,"[3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400 3400
 3400 3400 3400 3400]","[np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606), np.float64(27.397260273972606)]",493.2,0.71,[612. 618. 625. 651. 645. 634.],0.23453888888888885
PSO_5_9_0.9,2,"[1622.95328348 1305.59622154 1237.35068488 1845.39562034 2293.29316238
    5.54938575 1720.66577367  431.43709392 3526.64352091 1894.33863195
 3294.69260126 3219.23096434 1758.24859154 2145.45161858 2360.81874308
 1292.23632517 3589.51164893 3525.41261503]","[np.float64(13.077786329384478), np.float64(10.52051749832842), np.float64(9.970593754049409), np.float64(14.87023062318995), np.float64(18.479396957094437), np.float64(0.044717048721608726), np.float64(13.865155307564264), np.float64(3.4765277511759107), np.float64(28.417756010573218), np.float64(15.264614278436357), np.float64(26.548691388043167), np.float64(25.94062017999661), np.float64(14.167998320255528), np.float64(17.28808717627753), np.float64(19.02351928349421), np.float64(10.412863216488354), np.float64(28.924348500668877), np.float64(28.4078373491887)]",298.7,0.44,[395. 465. 317. 283. 363. 441.],0.1320473765432098
PSO_5_9_0.9,3,"[2797.48940579  798.23513766  988.61747172 1288.01209763 1653.58768932
  502.56124695 1379.72619706  905.04831068  823.69590852  673.9239119
 2854.94223049 3588.80664777 2562.92197376 2827.87851289 2722.68457753
 3372.52323521  845.87729342 2769.6196547 ]","[np.float64(22.54221922470666), np.float64(6.4321928900673395), np.float64(7.966297112961081), np.float64(10.37882431614099), np.float64(13.324638914786327), np.float64(4.0496474371760725), np.float64(11.117858155176192), np.float64(7.292895331811142), np.float64(6.637356233055095), np.float64(5.430490829135245), np.float64(23.005175104703454), np.float64(28.918667588764826), np.float64(20.65207069910833), np.float64(22.787095188496032), np.float64(21.939440592530566), np.float64(27.17585201621275), np.float64(6.816094225793411), np.float64(22.317644276387757)]",268.6,0.5,[474. 504. 287. 257. 241. 248.],0.014402160493827143
PSO_5_9_0.9,4,"[3056.87940836 3505.99380423 2059.53462943 2118.15129627 2648.52905897
 2995.76576406 2504.32055911 2297.53133518  469.59754378 3252.79381236
 1866.47496947   88.70182776 3525.97060312  371.59174643 3042.98385532
 1908.61082387 2976.955264   1307.0705111 ]","[np.float64(24.63238846381088), np.float64(28.251360227476262), np.float64(16.595766554600846), np.float64(17.06810069519643), np.float64(21.341894109385372), np.float64(24.139933634626125), np.float64(20.17985946103853), np.float64(18.513548228655036), np.float64(3.7840253326307876), np.float64(26.211070204346292), np.float64(15.040088392199225), np.float64(0.7147609005688641), np.float64(28.41233362704792), np.float64(2.994292880141577), np.float64(24.520417851103645), np.float64(15.379619853936212), np.float64(23.98835829166917), np.float64(10.532397349698865)]",322.2,0.26,[403. 290. 462. 471. 362. 423.],0.3570527777777778
PSO_5_9_0.9,5,"[3040.1400901  1455.27244852 1458.8143093  2562.07076316 2219.27727115
 2212.30889404 1623.81985605 3004.87631089 3485.29232105 2986.84870762
  706.54998194 1969.69831813 1891.0831469  2761.49346344 1743.70181379
 1656.4665884  2506.35636411   61.78365493]","[np.float64(24.497502740535097), np.float64(11.726611188746539), np.float64(11.755151565661974), np.float64(20.645211629026043), np.float64(17.882975593433265), np.float64(17.826824287186366), np.float64(13.084769186576853), np.float64(24.213346582477005), np.float64(28.08454730901113), np.float64(24.06807983574992), np.float64(5.693392279932716), np.float64(15.871863965620031), np.float64(15.238381522199017), np.float64(22.252163283122997), np.float64(14.050780127215583), np.float64(13.347837134557784), np.float64(20.19626401380822), np.float64(0.497853786735325)]",301.0,0.47,[367. 334. 289. 386. 482. 507.],0.10645216049382722
PSO_5_9_0.9,6,"[3600.          899.80002753  629.59903617 1034.30477523    0.
 2548.11005866    0.            0.         2519.77760686 2822.69175307
 3048.85081854  546.42212074 3600.            0.            0.
  886.75701303 3315.08398761    0.        ]","[np.float64(29.008863819500405), np.float64(7.250604573147797), np.float64(5.0733201947253725), np.float64(8.334446214555953), np.float64(0.0), np.float64(20.532716024639036), np.float64(0.0), np.float64(0.0), np.float64(20.3044126257559), np.float64(22.74530018591865), np.float64(24.567693944727782), np.float64(4.403079135657133), np.float64(29.008863819500405), np.float64(0.0), np.float64(0.0), np.float64(7.145503731084905), np.float64(26.713005540742497), np.float64(0.0)]",205.0,0.4,[412. 188. 195. 132. 221. 311.],-0.007399691358024707
PSO_5_9_0.9,7,"[1245.88998872  703.61682899 3600.         1227.84854177  293.8507804
    0.            0.         2178.00249402 1062.06976538    0.
 2769.16980541 1696.15182642 3600.         3600.          350.9854873
    0.          320.58610022  386.18111534]","[np.float64(10.039403615765487), np.float64(5.669756881460074), np.float64(29.008863819500405), np.float64(9.894025316452456), np.float64(2.3678547977646462), np.float64(0.0), np.float64(0.0), np.float64(17.55038270769374), np.float64(8.558176997442635), np.float64(0.0), np.float64(22.314019382858486), np.float64(13.667621486032793), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(2.8282472788123085), np.float64(0.0), np.float64(2.583288478834907), np.float64(3.111854273503929)]",185.7,0.26,[439. 350. 137. 313. 323. 156.],0.09563842592592586
PSO_5_9_0.9,8,"[2469.37109318  763.61967143 1813.98110775 1749.25943231 2386.39078672
 2013.65747959  509.11471111 2678.83766353 3227.98608739 1879.90233712
 1477.55782382 3091.4808403  1478.05108275 2919.61668233    0.
 1267.34093544 3330.71377103 3563.83835875]","[np.float64(19.89823604494523), np.float64(6.153260849596281), np.float64(14.617091923823784), np.float64(14.095563515799386), np.float64(19.229579264463148), np.float64(16.226087667897648), np.float64(4.10245536755854), np.float64(21.586121382218643), np.float64(26.011169116770475), np.float64(15.14828635877967), np.float64(11.906187137969152), np.float64(24.91120741575746), np.float64(11.91016182719565), np.float64(23.526322984098016), np.float64(0.0), np.float64(10.212255724702011), np.float64(26.83895061268889), np.float64(28.717472673219465)]",294.9,0.62,[373. 343. 338. 323. 427. 434.],-0.055230092592592595
PSO_5_9_0.9,9,"[2040.76569587 3600.            0.          820.75004661    0.
 3112.9228126  3600.         3600.         3224.07237826  614.13392302
    0.            0.            0.            0.         3600.
    0.         3600.          968.94469255]","[np.float64(16.444526155238407), np.float64(29.008863819500405), np.float64(0.0), np.float64(6.61361842556126), np.float64(0.0), np.float64(25.083987208736065), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(25.97963237921529), np.float64(4.948702038818192), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(29.008863819500405), np.float64(0.0), np.float64(29.008863819500405), np.float64(7.807773509655756)]",231.8,0.22,[150. 195. 466. 472. 367. 257.],0.22392561728395063
PSO_5_9_0.9,10,"[3600.            0.         3600.         1442.42591136  116.07543765
 2357.89497898 1005.10866457 3600.         3122.04489078 2611.53052358
    0.          274.03014146 1620.90458988 3600.         3192.91763892
    0.         3600.          829.2250653 ]","[np.float64(29.008863819500405), np.float64(0.0), np.float64(29.008863819500405), np.float64(11.623093564581172), np.float64(0.9353379343411967), np.float64(18.99995954054649), np.float64(8.099183437280193), np.float64(29.008863819500405), np.float64(25.157493076363057), np.float64(21.04375925525048), np.float64(0.0), np.float64(2.208139737775948), np.float64(13.061277920076796), np.float64(29.008863819500405), np.float64(25.72858693730946), np.float64(0.0), np.float64(29.008863819500405), np.float64(6.681910276367604)]",278.5,0.32,[378. 319. 259. 417. 499. 370.],0.21336188271604933
