Algorithm,Iteration,Lumens Config,Watts Config,Energy,Uniformity (IUDI),Avg Desk Lux,Objective
BO1_30_5_EI,1,"[3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400]","[27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606]",493.2,0.71,"[612.0, 618.0, 625.0, 651.0, 645.0, 634.0]",13.634538888888889
BO1_30_5_EI,2,"[2867.554752696839, 660.3652435181898, 2806.88760098197, 2148.6605686073535, 1604.9979102729285, 359.9096969448105, 1653.296011077122, 1201.3510001004788, 514.3205445189869, 2343.198502615871, 203.08168449756099, 2599.1955801605695, 3378.7897524567015, 2.803557027651583, 3571.961613448384, 2222.93343465978, 2201.9513777578118, 25.438698790982667]","[23.1068070322066, 5.32123483898622, 22.61795004820282, 17.31394495251695, 12.933101613802808, 2.9001587183304633, 13.322288566294297, 9.680507655926501, 4.144404065422941, 18.88153507345585, 1.636435813840137, 20.94436406253481, 27.226347723261092, 0.022591112229263362, 28.78293000361309, 17.912437023849957, 17.74336323737157, 0.20498548582580714]",244.4,0.35,"[301.0, 321.0, 182.0, 316.0, 328.0, 339.0]",107.8180561728395
BO1_30_5_EI,3,"[83.02473014909674, 1889.1887769302014, 1439.49949817492, 167.99638756901555, 3505.5198678292536, 837.9768255490955, 326.1831643181549, 2226.1896335991146, 1376.8631685617863, 3539.631188904438, 1680.3464156927282, 3095.7854642507546, 2449.1071389160074, 1621.7973070903552, 47.75386017551951, 3391.926320465471, 2027.8375842439418, 1387.4994091436984]","[0.6690147473738658, 15.223116655360204, 11.599512475220951, 1.3537178692104397, 28.247541239558853, 6.752432115625266, 2.6283897205330775, 17.938675532627837, 11.09478782080408, 28.52241086949588, 13.540261206226658, 24.945894151899715, 19.734948742272422, 13.068471451171275, 0.38480145185753034, 27.33220242115609, 16.34035120261033, 11.180494835968561]",250.4,0.28,"[265.0, 301.0, 236.0, 295.0, 285.0, 425.0]",115.19954691358025
BO1_30_5_EI,4,"[57.478507992771114, 831.2177722397366, 867.6916776936424, 2459.74866777165, 2195.987968017436, 2999.5016822501925, 624.1127526279796, 1407.8181872636671, 656.0499160370244, 2719.3010771435497, 1530.5611481684814, 748.58998632548, 2043.7211801519697, 112.72785284001093, 3032.2251885419955, 1619.1148801311567, 1422.5408496065322, 3335.97191685766]","[0.46316283636398964, 6.697967544236396, 6.991874920980197, 19.820698370440372, 17.695309975966445, 24.170037729655057, 5.029111624721835, 11.344223910263233, 5.286461853642421, 21.912176286410556, 12.333288865177128, 6.032151380543755, 16.468341500015875, 0.9083630365834886, 24.43372432346491, 13.046856407180957, 11.462859384420083, 26.881320844944884]",230.9,0.25,"[198.0, 252.0, 349.0, 236.0, 281.0, 375.0]",122.09220200617284
BO1_30_5_EI,5,"[2618.1791850831155, 1175.5467677010076, 2053.598307859438, 1875.0033360929656, 3460.219287657658, 3040.321855241346, 2690.3523964945716, 1942.8916766006876, 2112.304196389854, 3474.9191061508977, 2185.3232916720654, 993.5970552811564, 1066.5846205346968, 594.960980626809, 56.291064268298165, 1524.245330542931, 1421.5734654320513, 1056.5574289849374]","[21.09733428753518, 9.472576693803447, 16.547931570180808, 15.108810121619385, 27.882508361463803, 24.498967407263063, 21.67890730454933, 15.655855572930601, 17.020984660675698, 28.000959759475407, 17.609373824915917, 8.006422685585466, 8.594557780295704, 4.794206129144311, 0.4535943937816129, 12.282395894785907, 11.45506418559268, 8.51375849302931]",268.8,0.44,"[292.0, 209.0, 363.0, 372.0, 379.0, 489.0]",90.1747851851852
BO1_30_5_EI,6,"[50.68736177430405, 715.8326547196988, 2560.83102989514, 2844.631945912341, 2181.4559092116415, 3334.683162648057, 2343.8772918070003, 3293.8548319576116, 3060.1388800432783, 1618.0224268975326, 343.4764193654808, 1334.9457079137592, 2407.8285095889864, 2397.3204838229885, 2128.672035747818, 988.9984547642312, 2020.4763330517246, 1378.5367491136437]","[0.4084396597445935, 5.768192221754221, 20.63522183638308, 22.92209464876987, 17.578210388490263, 26.870936040677336, 18.8870047687913, 26.541940628183816, 24.658653344426096, 13.038053399657798, 2.767739076273012, 10.757016179804667, 19.40232481538265, 19.31765095747775, 17.15287700038532, 7.9693670810977535, 16.28103411000584, 11.10827356255958]",282.2,0.22,"[246.0, 290.0, 380.0, 438.0, 510.0, 442.0]",68.72044783950618
BO1_30_5_EI,7,"[3600.0, 3600.0, 3600.0, 3600.0, 3351.3757564893413, 2856.161404846141, 3600.0, 3600.0, 3600.0, 3442.410942480268, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0]","[29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 27.00544525777068, 23.01499923324852, 29.008863819500405, 29.008863819500405, 29.008863819500405, 27.739008400324483, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405]",512.7,0.71,"[647.0, 654.0, 633.0, 686.0, 680.0, 654.0]",15.671883796296298
BO1_30_5_EI,8,"[0.0, 0.0, 342.31884675084245, 3329.8988128373385, 712.43658945663, 3600.0, 2221.841641681704, 0.0, 3600.0, 3600.0, 3600.0, 144.0062102302391, 848.9524993112174, 3575.5552128607433, 2902.0049297656597, 0.0, 3600.0, 770.1889230265004]","[0.0, 0.0, 2.758411335623227, 26.832383665087338, 5.740826667660194, 29.008863819500405, 17.903639336677713, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 1.1604045949253756, 6.840874289373226, 28.81188729138391, 23.38440716974746, 0.0, 29.008863819500405, 6.206195995378731]",264.6,0.24,"[326.0, 389.0, 321.0, 217.0, 365.0, 487.0]",92.06674166666667
BO1_30_5_EI,9,"[566.3378716729658, 3600.0, 836.8032303717004, 2760.1987878778473, 0.0, 3600.0, 1393.0590670780969, 2670.8444944508383, 3462.454655582424, 0.0, 532.1960206667153, 2856.7120007480435, 2626.1733676951417, 2978.8944336841073, 0.0, 0.0, 0.0, 2626.3389820089365]","[4.5635606097740995, 29.008863819500405, 6.742975264880744, 22.241730764527375, 0.0, 29.008863819500405, 11.225294658163554, 21.52171228405188, 27.900520995829364, 0.0, 4.288444969111324, 23.019435944786814, 21.161751552740867, 24.00398415539168, 0.0, 0.0, 0.0, 21.16308607581738]",245.8,0.14,"[316.0, 300.0, 489.0, 406.0, 416.0, 275.0]",62.23073734567902
BO1_30_5_EI,10,"[0.0, 2466.9624937943217, 3600.0, 1513.4517673426374, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0]","[0.0, 19.878827508415164, 29.008863819500405, 12.19542117117355, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405]",467.1,0.25,"[495.0, 627.0, 611.0, 637.0, 599.0, 598.0]",14.444554166666668
BO1_30_5_EI,11,"[0.0, 599.7352101652007, 769.2946647093895, 0.0, 3323.663432471238, 3600.0, 1095.3780606553344, 3600.0, 3600.0, 2562.7007049740096, 2835.2635677723115, 2658.575696692446, 1399.1787203436693, 0.0, 2733.317709783909, 3585.365037165042, 3288.3494687759553, 2369.3309854625923]","[0.0, 4.832676955400489, 6.1989900460063625, 0.0, 26.782138859558728, 29.008863819500405, 8.826575831227514, 29.008863819500405, 29.008863819500405, 20.650287711313535, 22.846604091638287, 21.42285009421794, 11.27460693266454, 0.0, 22.025122560708372, 28.890935029532976, 26.49757831406894, 19.09211108350195]",306.3,0.2,"[223.0, 367.0, 359.0, 338.0, 407.0, 470.0]",84.98660231481482
BO1_30_5_EI,12,"[0.0, 702.0587919581875, 120.85668099795286, 1221.4812262952078, 1968.0992811741132, 3600.0, 2958.5467592986743, 1300.395076874991, 3600.0, 2172.365173443915, 1939.076261041151, 3600.0, 3600.0, 3600.0, 1927.2792265792666, 3491.912589353095, 458.49165410487325, 3600.0]","[0.0, 5.657202191443896, 0.9738652779851158, 9.84271737546501, 15.858978897454579, 29.008863819500405, 23.840022234477633, 10.478606582393159, 29.008863819500405, 17.50495707851664, 15.625110886713546, 29.008863819500405, 29.008863819500405, 29.008863819500405, 15.530050173886114, 28.137893548373047, 3.694533876751598, 29.008863819500405]",321.1,0.28,"[405.0, 468.0, 495.0, 320.0, 348.0, 415.0]",49.93494614197531
BO1_30_5_EI,13,"[0.0, 0.0, 3600.0, 0.0, 1376.294318140608, 3600.0, 2537.272661615657, 2028.0149229671117, 3600.0, 1576.4063046830613, 2589.1404364505365, 3600.0, 2929.7956439648297, 3600.0, 0.0, 223.38525411372711, 0.0, 3600.0]","[0.0, 0.0, 29.008863819500405, 0.0, 11.09020401402585, 29.008863819500405, 20.445388087152757, 16.34178020118543, 29.008863819500405, 12.702709949097997, 20.863339536265403, 29.008863819500405, 23.60834523742812, 29.008863819500405, 0.0, 1.8000423377415562, 0.0, 29.008863819500405]",280.8,0.18,"[394.0, 416.0, 459.0, 410.0, 401.0, 315.0]",46.55776666666667
