Algorithm,Iteration,Lumens Config,Watts Config,Energy,Uniformity (IUDI),Avg Desk Lux,Objective
BO1_30_5_EI,1,"[2867.554752696839, 660.3652435181898, 2806.88760098197, 2148.6605686073535, 1604.9979102729285, 359.9096969448105, 1653.296011077122, 1201.3510001004788, 514.3205445189869, 2343.198502615871, 203.08168449756099, 2599.1955801605695, 3378.7897524567015, 2.803557027651583, 3571.961613448384, 2222.93343465978, 2201.9513777578118, 25.438698790982667]","[23.1068070322066, 5.32123483898622, 22.61795004820282, 17.31394495251695, 12.933101613802808, 2.9001587183304633, 13.322288566294297, 9.680507655926501, 4.144404065422941, 18.88153507345585, 1.636435813840137, 20.94436406253481, 27.226347723261092, 0.022591112229263362, 28.78293000361309, 17.912437023849957, 17.74336323737157, 0.20498548582580714]",244.4,0.35,"[301.0, 321.0, 182.0, 316.0, 328.0, 339.0]",123.91805617283951
BO1_30_5_EI,2,"[83.02473014909674, 1889.1887769302014, 1439.49949817492, 167.99638756901555, 3505.5198678292536, 837.9768255490955, 326.1831643181549, 2226.1896335991146, 1376.8631685617863, 3539.631188904438, 1680.3464156927282, 3095.7854642507546, 2449.1071389160074, 1621.7973070903552, 47.75386017551951, 3391.926320465471, 2027.8375842439418, 1387.4994091436984]","[0.6690147473738658, 15.223116655360204, 11.599512475220951, 1.3537178692104397, 28.247541239558853, 6.752432115625266, 2.6283897205330775, 17.938675532627837, 11.09478782080408, 28.52241086949588, 13.540261206226658, 24.945894151899715, 19.734948742272422, 13.068471451171275, 0.38480145185753034, 27.33220242115609, 16.34035120261033, 11.180494835968561]",250.4,0.28,"[265.0, 301.0, 236.0, 295.0, 285.0, 425.0]",122.69954691358025
BO1_30_5_EI,3,"[57.478507992771114, 831.2177722397366, 867.6916776936424, 2459.74866777165, 2195.987968017436, 2999.5016822501925, 624.1127526279796, 1407.8181872636671, 656.0499160370244, 2719.3010771435497, 1530.5611481684814, 748.58998632548, 2043.7211801519697, 112.72785284001093, 3032.2251885419955, 1619.1148801311567, 1422.5408496065322, 3335.97191685766]","[0.46316283636398964, 6.697967544236396, 6.991874920980197, 19.820698370440372, 17.695309975966445, 24.170037729655057, 5.029111624721835, 11.344223910263233, 5.286461853642421, 21.912176286410556, 12.333288865177128, 6.032151380543755, 16.468341500015875, 0.9083630365834886, 24.43372432346491, 13.046856407180957, 11.462859384420083, 26.881320844944884]",230.9,0.25,"[198.0, 252.0, 349.0, 236.0, 281.0, 375.0]",134.59220200617284
BO1_30_5_EI,4,"[2618.1791850831155, 1175.5467677010076, 2053.598307859438, 1875.0033360929656, 3460.219287657658, 3040.321855241346, 2690.3523964945716, 1942.8916766006876, 2112.304196389854, 3474.9191061508977, 2185.3232916720654, 993.5970552811564, 1066.5846205346968, 594.960980626809, 56.291064268298165, 1524.245330542931, 1421.5734654320513, 1056.5574289849374]","[21.09733428753518, 9.472576693803447, 16.547931570180808, 15.108810121619385, 27.882508361463803, 24.498967407263063, 21.67890730454933, 15.655855572930601, 17.020984660675698, 28.000959759475407, 17.609373824915917, 8.006422685585466, 8.594557780295704, 4.794206129144311, 0.4535943937816129, 12.282395894785907, 11.45506418559268, 8.51375849302931]",268.8,0.44,"[292.0, 209.0, 363.0, 372.0, 379.0, 489.0]",91.2747851851852
BO1_30_5_EI,5,"[50.68736177430405, 715.8326547196988, 2560.83102989514, 2844.631945912341, 2181.4559092116415, 3334.683162648057, 2343.8772918070003, 3293.8548319576116, 3060.1388800432783, 1618.0224268975326, 343.4764193654808, 1334.9457079137592, 2407.8285095889864, 2397.3204838229885, 2128.672035747818, 988.9984547642312, 2020.4763330517246, 1378.5367491136437]","[0.4084396597445935, 5.768192221754221, 20.63522183638308, 22.92209464876987, 17.578210388490263, 26.870936040677336, 18.8870047687913, 26.541940628183816, 24.658653344426096, 13.038053399657798, 2.767739076273012, 10.757016179804667, 19.40232481538265, 19.31765095747775, 17.15287700038532, 7.9693670810977535, 16.28103411000584, 11.10827356255958]",282.2,0.22,"[246.0, 290.0, 380.0, 438.0, 510.0, 442.0]",74.52044783950618
BO1_30_5_EI,6,"[3108.4967779061913, 0.0, 3600.0, 3600.0, 0.0, 0.0, 3600.0, 3600.0, 3600.0, 0.0, 0.0, 3600.0, 3600.0, 3600.0, 3600.0, 789.0005463826609, 3600.0, 0.0]","[25.048322142676803, 0.0, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 6.357780389868339, 29.008863819500405, 0.0]",321.4,0.27,"[446.0, 482.0, 255.0, 518.0, 605.0, 358.0]",49.54552067901235
BO1_30_5_EI,7,"[0.0, 0.0, 3600.0, 0.0, 0.0, 0.0, 3600.0, 0.0, 3600.0, 0.0, 0.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 0.0]","[0.0, 0.0, 29.008863819500405, 0.0, 0.0, 0.0, 29.008863819500405, 0.0, 29.008863819500405, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0]",261.0,0.26,"[317.0, 464.0, 234.0, 369.0, 363.0, 242.0]",104.73984722222222
BO1_30_5_EI,8,"[3600.0, 3600.0, 0.0, 0.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 0.0, 0.0, 0.0, 0.0, 3600.0, 3600.0, 0.0]","[29.008863819500405, 29.008863819500405, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 0.0]",319.0,0.18,"[328.0, 208.0, 458.0, 474.0, 390.0, 520.0]",68.83092438271605
BO1_30_5_EI,9,"[0.0, 0.0, 0.0, 0.0, 3600.0, 3600.0, 3600.0, 3600.0, 0.0, 3600.0, 3600.0, 0.0, 0.0, 3600.0, 0.0, 0.0, 0.0, 3600.0]","[0.0, 0.0, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 29.008863819500405, 0.0, 0.0, 0.0, 29.008863819500405]",232.0,0.23,"[300.0, 274.0, 468.0, 354.0, 208.0, 344.0]",109.11430864197531
BO1_30_5_EI,10,"[3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 0.0, 3600.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3600.0]","[29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 29.008863819500405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 29.008863819500405]",319.0,0.2,"[353.0, 224.0, 598.0, 616.0, 596.0, 460.0]",50.71092438271605
BO1_30_5_EI,11,"[3600.0, 0.0, 3600.0, 3600.0, 0.0, 0.0, 3600.0, 3600.0, 3600.0, 3600.0, 0.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 0.0]","[29.008863819500405, 0.0, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0]",377.0,0.24,"[470.0, 498.0, 261.0, 531.0, 641.0, 522.0]",31.18200154320988
BO1_30_5_EI,12,"[266.20167072069836, 352.71017961896234, 3209.4796248866105, 2546.8167202169398, 3497.6514398947465, 2437.711314486995, 160.31835112968326, 3556.492026342039, 3573.3480262790636, 3589.219195547705, 1980.9941879825121, 2010.080010064973, 932.8032208749712, 523.727346400808, 1474.884433892739, 1531.6944768471894, 887.9549927583552, 875.5114203839601]","[2.1450577817945073, 2.842144880088335, 25.862043713832477, 20.522294280555517, 28.184137307773945, 19.643120987002376, 1.291848115468842, 28.658275796470903, 28.79410174278053, 28.921991906105603, 15.96288628511291, 16.197260355076335, 7.516544890209277, 4.220204241747043, 11.884644914526504, 12.342421247761399, 7.155157072992387, 7.054886546204352]",269.2,0.25,"[186.0, 283.0, 221.0, 369.0, 548.0, 574.0]",97.8655512345679
BO1_30_5_EI,13,"[0.0, 3600.0, 3600.0, 0.0, 0.0, 0.0, 3600.0, 3600.0, 3600.0, 3600.0, 0.0, 3600.0, 3600.0, 3600.0, 3600.0, 0.0, 3600.0, 3600.0]","[0.0, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 29.008863819500405, 29.008863819500405]",348.0,0.24,"[360.0, 487.0, 500.0, 635.0, 500.0, 385.0]",30.826462962962964
BO1_30_5_EI,14,"[0.0, 0.0, 3600.0, 0.0, 3600.0, 0.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 0.0, 3600.0, 3600.0, 3600.0, 0.0, 3600.0, 0.0]","[0.0, 0.0, 29.008863819500405, 0.0, 29.008863819500405, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 29.008863819500405, 0.0]",319.0,0.27,"[432.0, 437.0, 249.0, 506.0, 497.0, 516.0]",42.14092438271605
BO1_30_5_EI,15,"[3600.0, 3600.0, 3600.0, 0.0, 0.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3600.0]","[29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 29.008863819500405]",290.0,0.13,"[349.0, 216.0, 594.0, 601.0, 464.0, 349.0]",67.32538580246914
BO1_30_5_EI,16,"[0.0, 3600.0, 3600.0, 1374.9332982686528, 132.33769164319335, 3260.6469054196964, 3600.0, 3600.0, 3600.0, 2766.536165482339, 0.0, 3528.93121287864, 3438.069188070899, 423.34631577998545, 1257.989216987219, 1133.4016252864167, 3600.0, 3600.0]","[0.0, 29.008863819500405, 29.008863819500405, 11.079236891769966, 1.0663794652956757, 26.274350567443165, 29.008863819500405, 29.008863819500405, 29.008863819500405, 22.292797465611113, 0.0, 28.436190272994683, 27.704022466324734, 3.4113321174857814, 10.136899411661716, 9.132970389092803, 29.008863819500405, 29.008863819500405]",342.5,0.21,"[243.0, 305.0, 603.0, 625.0, 539.0, 403.0]",59.24592978395062
BO1_30_5_EI,17,"[0.0, 3600.0, 2853.8508357332034, 0.0, 0.0, 3069.4961443130887, 3600.0, 2974.7787049182743, 3600.0, 3600.0, 0.0, 3600.0, 2732.7621139625458, 3600.0, 632.7835954214057, 0.0, 2357.4334560812317, 3600.0]","[0.0, 29.008863819500405, 22.996380626375533, 0.0, 0.0, 24.73405434579443, 29.008863819500405, 23.970819540034444, 29.008863819500405, 29.008863819500405, 0.0, 29.008863819500405, 22.020645559730426, 29.008863819500405, 5.098981429664833, 0.0, 18.996240580831845, 29.008863819500405]",320.8,0.22,"[319.0, 371.0, 600.0, 576.0, 436.0, 366.0]",54.99437160493827
