Algorithm,Iteration,Lumens Config,Watts Config,Energy,Uniformity (IUDI),Avg Desk Lux,Objective
BO1_30_5_EI,1,"[3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400]","[27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606]",493.2,0.71,"[612.0, 618.0, 625.0, 651.0, 645.0, 634.0]",26.53453888888889
BO1_30_5_EI,2,"[2867.554752696839, 660.3652435181898, 2806.88760098197, 2148.6605686073535, 1604.9979102729285, 359.9096969448105, 1653.296011077122, 1201.3510001004788, 514.3205445189869, 2343.198502615871, 203.08168449756099, 2599.1955801605695, 3378.7897524567015, 2.803557027651583, 3571.961613448384, 2222.93343465978, 2201.9513777578118, 25.438698790982667]","[23.1068070322066, 5.32123483898622, 22.61795004820282, 17.31394495251695, 12.933101613802808, 2.9001587183304633, 13.322288566294297, 9.680507655926501, 4.144404065422941, 18.88153507345585, 1.636435813840137, 20.94436406253481, 27.226347723261092, 0.022591112229263362, 28.78293000361309, 17.912437023849957, 17.74336323737157, 0.20498548582580714]",244.4,0.35,"[301.0, 321.0, 182.0, 316.0, 328.0, 339.0]",88.8180561728395
BO1_30_5_EI,3,"[83.02473014909674, 1889.1887769302014, 1439.49949817492, 167.99638756901555, 3505.5198678292536, 837.9768255490955, 326.1831643181549, 2226.1896335991146, 1376.8631685617863, 3539.631188904438, 1680.3464156927282, 3095.7854642507546, 2449.1071389160074, 1621.7973070903552, 47.75386017551951, 3391.926320465471, 2027.8375842439418, 1387.4994091436984]","[0.6690147473738658, 15.223116655360204, 11.599512475220951, 1.3537178692104397, 28.247541239558853, 6.752432115625266, 2.6283897205330775, 17.938675532627837, 11.09478782080408, 28.52241086949588, 13.540261206226658, 24.945894151899715, 19.734948742272422, 13.068471451171275, 0.38480145185753034, 27.33220242115609, 16.34035120261033, 11.180494835968561]",250.4,0.28,"[265.0, 301.0, 236.0, 295.0, 285.0, 425.0]",81.29954691358026
BO1_30_5_EI,4,"[57.478507992771114, 831.2177722397366, 867.6916776936424, 2459.74866777165, 2195.987968017436, 2999.5016822501925, 624.1127526279796, 1407.8181872636671, 656.0499160370244, 2719.3010771435497, 1530.5611481684814, 748.58998632548, 2043.7211801519697, 112.72785284001093, 3032.2251885419955, 1619.1148801311567, 1422.5408496065322, 3335.97191685766]","[0.46316283636398964, 6.697967544236396, 6.991874920980197, 19.820698370440372, 17.695309975966445, 24.170037729655057, 5.029111624721835, 11.344223910263233, 5.286461853642421, 21.912176286410556, 12.333288865177128, 6.032151380543755, 16.468341500015875, 0.9083630365834886, 24.43372432346491, 13.046856407180957, 11.462859384420083, 26.881320844944884]",230.9,0.25,"[198.0, 252.0, 349.0, 236.0, 281.0, 375.0]",87.89220200617284
BO1_30_5_EI,5,"[2618.1791850831155, 1175.5467677010076, 2053.598307859438, 1875.0033360929656, 3460.219287657658, 3040.321855241346, 2690.3523964945716, 1942.8916766006876, 2112.304196389854, 3474.9191061508977, 2185.3232916720654, 993.5970552811564, 1066.5846205346968, 594.960980626809, 56.291064268298165, 1524.245330542931, 1421.5734654320513, 1056.5574289849374]","[21.09733428753518, 9.472576693803447, 16.547931570180808, 15.108810121619385, 27.882508361463803, 24.498967407263063, 21.67890730454933, 15.655855572930601, 17.020984660675698, 28.000959759475407, 17.609373824915917, 8.006422685585466, 8.594557780295704, 4.794206129144311, 0.4535943937816129, 12.282395894785907, 11.45506418559268, 8.51375849302931]",268.8,0.44,"[292.0, 209.0, 363.0, 372.0, 379.0, 489.0]",50.074785185185185
BO1_30_5_EI,6,"[50.68736177430405, 715.8326547196988, 2560.83102989514, 2844.631945912341, 2181.4559092116415, 3334.683162648057, 2343.8772918070003, 3293.8548319576116, 3060.1388800432783, 1618.0224268975326, 343.4764193654808, 1334.9457079137592, 2407.8285095889864, 2397.3204838229885, 2128.672035747818, 988.9984547642312, 2020.4763330517246, 1378.5367491136437]","[0.4084396597445935, 5.768192221754221, 20.63522183638308, 22.92209464876987, 17.578210388490263, 26.870936040677336, 18.8870047687913, 26.541940628183816, 24.658653344426096, 13.038053399657798, 2.767739076273012, 10.757016179804667, 19.40232481538265, 19.31765095747775, 17.15287700038532, 7.9693670810977535, 16.28103411000584, 11.10827356255958]",282.2,0.22,"[246.0, 290.0, 380.0, 438.0, 510.0, 442.0]",54.520447839506176
BO1_30_5_EI,7,"[1751.0545499093969, 3600.0, 767.3533571722282, 3600.0, 441.35023086148783, 3600.0, 522.6381099871733, 2590.797141160484, 2936.6899049719696, 3600.0, 3600.0, 0.0, 0.0, 2529.4639904200185, 0.0, 0.0, 1664.0249188412527, 0.0]","[14.110028605232852, 29.008863819500405, 6.183346955457117, 29.008863819500405, 3.556407984379435, 29.008863819500405, 4.211427155416384, 20.876689292187624, 23.663899314842624, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 20.382465676228996, 0.0, 0.0, 13.408742295255864, 0.0]",251.5,0.22,"[332.0, 266.0, 349.0, 360.0, 434.0, 455.0]",54.46165354938272
BO1_30_5_EI,8,"[3600.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3600.0, 3600.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3600.0, 0.0, 0.0]","[29.008863819500405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 0.0, 0.0, 0.0, 29.008863819500405, 0.0, 0.0]",116.0,0.13,"[158.0, 42.4, 38.0, 58.6, 202.0, 331.0]",146.23215432098766
BO1_30_5_EI,9,"[3600.0, 3600.0, 3600.0, 0.0, 3600.0, 3600.0, 0.0, 0.0, 3600.0, 3600.0, 3600.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",232.0,0.22,"[318.0, 198.0, 317.0, 325.0, 335.0, 467.0]",61.32430864197531
BO1_30_5_EI,10,"[1614.086158700775, 3232.9523891508916, 0.0, 1866.1246094172786, 0.0, 3600.0, 3600.0, 3600.0, 1553.3364371092634, 2211.1370517989267, 3600.0, 0.0, 1523.7901816708347, 3600.0, 0.0, 0.0, 2572.250916679115, 615.6793666909022]","[13.006334880747584, 26.051187664390746, 0.0, 15.037265184667838, 0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 12.51681254721405, 17.817381561635187, 29.008863819500405, 0.0, 12.27872829710584, 29.008863819500405, 0.0, 0.0, 20.72724348653598, 4.961155251336843]",267.4,0.23,"[424.0, 303.0, 486.0, 466.0, 334.0, 287.0]",37.682104012345675
