Algorithm,Iteration,Lumens Config,Watts Config,Energy,Uniformity (IUDI),Avg Desk Lux,Objective
BO1_30_5_EI,11,"[1397.349004977127, 2433.042281493803, 3015.5986337883114, 2483.611076951296, 3600.0, 0.0, 2173.6223031235822, 0.0, 3165.3793121108474, 2991.9118729447287, 772.3284169278779, 1710.6529718907025, 3600.0, 0.0, 3036.7470167029924, 2659.5655218785814, 1809.5403193646289, 0.0]","[11.259863053804407, 19.605497836372304, 24.299747250510165, 20.012982086634135, 29.008863819500405, 0.0, 17.51508705176134, 0.0, 25.506682611690955, 24.10887891172223, 6.223436075164206, 13.784471973333622, 29.008863819500405, 0.0, 24.470161294947562, 21.430826123115082, 14.581307972317719, 0.0]",280.8,0.28,"[277.0, 294.0, 246.0, 365.0, 428.0, 542.0]",67.15776666666667
BO1_30_5_EI,12,"[2782.271378579128, 1466.505810774906, 2871.855118054342, 1796.420562651214, 290.00752810605735, 0.0, 3283.083903463742, 0.0, 1562.669427584061, 2862.065828288799, 3078.164739229793, 1721.7332533038061, 2079.5290312114444, 0.0, 1390.5039565200964, 2636.6242603402466, 3600.0, 0.0]","[22.419592091693215, 11.817129820909798, 23.141459452492683, 14.475588740138711, 2.336885802627376, 0.0, 26.455148295437084, 0.0, 12.592017949911854, 23.06257718202094, 24.803906037306955, 13.87375707738764, 16.756881798641775, 0.0, 11.204705531991108, 21.245965030944777, 29.008863819500405, 0.0]",253.2,0.29,"[347.0, 304.0, 244.0, 349.0, 318.0, 341.0]",63.59490925925927
BO1_30_5_EI,13,"[2140.4170743740005, 1325.4204360160668, 3135.0099385754975, 3600.0, 2871.850463996711, 0.0, 3600.0, 0.0, 1900.9916482359997, 2761.644519893931, 1667.786123541672, 1874.379694138936, 1937.9509549764932, 0.0, 704.8466386354892, 3382.9021114213274, 696.666450122647, 0.0]","[17.247518729846902, 10.68026136999248, 25.261965661365814, 29.008863819500405, 23.141421950013786, 0.0, 29.008863819500405, 0.0, 15.31822440157937, 22.253380498742395, 13.439050149409121, 15.103784803698115, 15.616043150495514, 0.0, 5.679666709391532, 27.259485184700463, 5.613750605339622, 0.0]",254.6,0.28,"[266.0, 241.0, 249.0, 369.0, 409.0, 490.0]",67.50759043209877
BO1_30_5_EI,14,"[890.7464822332113, 256.3637394653194, 3502.012981405338, 2293.790088642916, 29.06707013887263, 585.4114250451682, 3343.271426828057, 0.0, 25.97305899124097, 3600.0, 1888.2446258035156, 3166.318828797834, 1252.2382777491182, 2137.521904066222, 3391.372749022081, 656.344416415839, 744.4461924042135, 0.0]","[7.177650944667295, 2.06578355733537, 28.219282686586126, 18.483401197767254, 0.2342229664695619, 4.717255640976376, 26.94014042568942, 0.0, 0.20929136979243326, 29.008863819500405, 15.215508668843801, 25.514253253810107, 10.090558241330525, 17.22418939618229, 27.32774173265174, 5.288834942915705, 5.998760615666508, 0.0]",223.6,0.41,"[278.0, 440.0, 232.0, 343.0, 287.0, 297.0]",50.418221604938275
BO1_30_5_EI,15,"[3053.7998183553887, 3509.6283516757594, 3126.947799040634, 3368.523510290072, 1406.4873446726988, 0.0, 1829.6027292867727, 0.0, 2280.3806594769776, 2943.259377028003, 2409.4122560352293, 3473.696444065945, 3121.7831043173683, 300.5976976819933, 2996.6330330720534, 3600.0, 1971.5548311786822, 0.0]","[24.607573072968485, 28.280647475227717, 25.197000798071187, 27.143622161886157, 11.333499957072513, 0.0, 14.742971227129514, 0.0, 18.3753477798306, 23.71683623713137, 19.41508667232256, 27.991107526719944, 25.155383596433268, 2.4222215768089708, 24.146922103723234, 29.008863819500405, 15.88682378065014, 0.0]",317.3,0.26,"[409.0, 444.0, 277.0, 401.0, 434.0, 466.0]",41.54766867283951
BO1_30_5_EI,16,"[1118.949669842408, 0.0, 2551.5997492580686, 1117.039096155008, 19.979849566583308, 3540.5171914252855, 3306.450341572512, 872.3465572801923, 945.5785493530199, 288.332616566756, 436.8541418143885, 1014.3180905938957, 45.19025702964059, 1902.5871950743665, 996.0547194833434, 2674.165462592839, 3008.6198145894255, 54.06303246724391]","[9.01651627592593, 0.0, 20.56083601336075, 9.001120839282903, 0.1609979820030887, 28.529550293515598, 26.643435467949335, 7.029384023208641, 7.619488713561804, 2.3233893357514583, 3.520178419132865, 8.173393155470555, 0.36414389226140687, 15.331081346288208, 8.026226587295273, 21.548472704213047, 24.243511801687553, 0.4356408740309743]",192.3,0.35,"[168.0, 208.0, 320.0, 323.0, 266.0, 177.0]",67.41827824074075
BO1_30_5_EI,17,"[0.0, 0.0, 3600.0, 3600.0, 796.2912794664362, 3600.0, 3600.0, 2453.3213519365945, 993.6668845300829, 1774.6447331693983, 1547.5082820746493, 1959.4644914511857, 1544.4796234050302, 2363.7210887319675, 3600.0, 0.0, 1468.7657172160475, 2717.329195201895]","[0.0, 0.0, 29.008863819500405, 29.008863819500405, 6.4165292463048855, 29.008863819500405, 29.008863819500405, 19.76890694550036, 8.006985370911226, 14.300118720140196, 12.4698491706257, 15.789399608792795, 12.445444185374942, 19.046906436196355, 29.008863819500405, 0.0, 11.835340187075323, 21.896286826767888]",286.9,0.22,"[268.0, 406.0, 458.0, 470.0, 461.0, 342.0]",20.72944891975309
BO1_30_5_EI,18,"[0.0, 3600.0, 3600.0, 3600.0, 299.84858771215505, 3600.0, 3290.8928580057595, 3600.0, 3600.0, 0.0, 1561.0434816114062, 1348.17505353591, 3600.0, 3600.0, 3600.0, 169.27666103236498, 2583.9449841774876, 3600.0]","[0.0, 29.008863819500405, 29.008863819500405, 29.008863819500405, 2.416185235392063, 29.008863819500405, 26.51807298957099, 29.008863819500405, 29.008863819500405, 0.0, 12.578916048440018, 10.863618481353022, 29.008863819500405, 29.008863819500405, 29.008863819500405, 1.3640343354743352, 20.821474489746073, 29.008863819500405]",364.6,0.25,"[413.0, 455.0, 627.0, 646.0, 616.0, 363.0]",20.04825401234568
BO1_30_5_EI,19,"[3600.0, 3600.0, 3588.7886710511693, 3600.0, 0.0, 3600.0, 176.76836354804882, 2901.9989297977695, 2744.6845942030172, 0.0, 2096.6773873869543, 0.0, 3600.0, 2223.502263247804, 3600.0, 44.12159699269825, 724.945877860625, 2222.382205717007]","[29.008863819500405, 29.008863819500405, 28.918522732080334, 29.008863819500405, 0.0, 29.008863819500405, 1.4244026071559133, 23.384358821899834, 22.116717116865573, 0.0, 16.895063556703903, 0.0, 29.008863819500405, 17.917020654696245, 29.008863819500405, 0.35553261073890613, 5.841626735379735, 17.907995211257106]",308.7,0.26,"[505.0, 378.0, 455.0, 492.0, 533.0, 300.0]",25.031198611111115
BO1_30_5_EI,20,"[437.1591106047858, 3600.0, 2947.021172825026, 3600.0, 1581.9375496419855, 3600.0, 594.0550647637889, 2861.412998635251, 3600.0, 520.6043400187671, 1564.394368613383, 3600.0, 3600.0, 3600.0, 3600.0, 2813.23239738252, 1759.4130766066971, 2231.625376528039]","[3.5226358630522627, 29.008863819500405, 23.74714885435154, 29.008863819500405, 12.747280819032921, 29.008863819500405, 4.786906243060346, 23.057316669099524, 29.008863819500405, 4.195039000957027, 12.605917555305263, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 22.669076530076715, 14.177381761536642, 17.982476845512]",371.5,0.32,"[428.0, 548.0, 479.0, 505.0, 582.0, 436.0]",13.491468364197532
