Algorithm,Iteration,Lumens Config,Watts Config,Energy,Uniformity (IUDI),Avg Desk Lux,Objective
SAMO-COBRA_30_5,11,"[1.46717047e+03 5.99520433e-13 3.60000000e+03 1.48391552e+03
 3.60000000e+03 3.60000000e+03 1.77393856e+03 0.00000000e+00
 1.99840144e-13 7.79523538e+02 9.98248838e+02 3.60000000e+03
 3.60000000e+03 3.60000000e+03 3.60000000e+03 3.60000000e+03
 3.19604875e+03 3.07013108e+03]","[np.float64(11.822485683528026), np.float64(4.830946279593752e-15), np.float64(29.008863819500405), np.float64(11.957417557554724), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(14.294428364825658), np.float64(0.0), np.float64(1.6103154265312505e-15), np.float64(6.281414490503883), np.float64(8.043906837127466), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(25.753817449681307), np.float64(24.739170673188948)]",341.3,0.33,"[433.0, 515.0, 418.0, 328.0, 295.0, 332.0]",28.423631635802472
SAMO-COBRA_30_5,12,"[3.60000000e+03 1.77271739e+03 0.00000000e+00 1.53869049e+03
 3.60000000e+03 3.60000000e+03 3.60000000e+03 2.26403988e+03
 2.26036732e+03 1.42032244e+03 1.17665821e+03 0.00000000e+00
 0.00000000e+00 1.99840144e-13 1.42870994e+03 1.78777057e+03
 3.21006989e+03 3.60000000e+03]","[np.float64(29.008863819500405), np.float64(14.284588149314997), np.float64(0.0), np.float64(12.39879528150405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(18.24367351964628), np.float64(18.214079930548476), np.float64(11.444983410450973), np.float64(9.481532741323086), np.float64(0.0), np.float64(0.0), np.float64(1.6103154265312505e-15), np.float64(11.51257001349379), np.float64(14.405886971746506), np.float64(25.86680008504045), np.float64(29.008863819500405)]",282.4,0.18,"[254.0, 167.0, 516.0, 372.0, 326.0, 417.0]",50.660830864197536
SAMO-COBRA_30_5,13,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.87415649e+03
 0.00000000e+00 3.60000000e+03 0.00000000e+00 2.80406451e+03
 2.53413465e+03 0.00000000e+00 1.05543993e+03 2.52296975e+03
 3.60000000e+03 3.60000000e+03 0.00000000e+00 0.00000000e+00
 1.99840144e-13 5.79056397e+02]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(15.101986255419678), np.float64(0.0), np.float64(29.008863819500405), np.float64(0.0), np.float64(22.595201529955123), np.float64(20.420101920405365), np.float64(0.0), np.float64(8.50475364817499), np.float64(20.330134955634726), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(0.0), np.float64(0.0), np.float64(1.6103154265312505e-15), np.float64(4.666046708623754)]",180.2,0.13,"[329.0, 292.0, 243.0, 201.0, 304.0, 205.0]",81.31510524691359
SAMO-COBRA_30_5,14,"[3.60000000e+03 3.07674265e+03 1.99840144e-13 2.10718593e+03
 3.60000000e+03 0.00000000e+00 1.99840144e-13 1.95164333e+03
 7.76626809e+02 3.22292964e+03 0.00000000e+00 0.00000000e+00
 1.88108010e+03 2.09352666e+03 3.60000000e+03 3.60000000e+03
 8.19108490e+02 0.00000000e+00]","[np.float64(29.008863819500405), np.float64(24.79244682909758), np.float64(1.6103154265312505e-15), np.float64(16.979741617510044), np.float64(29.008863819500405), np.float64(0.0), np.float64(1.6103154265312505e-15), np.float64(15.72637657333546), np.float64(6.258072596880871), np.float64(25.970424152142233), np.float64(0.0), np.float64(0.0), np.float64(15.157776790591987), np.float64(16.869674925567924), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(6.600390729341904), np.float64(0.0)]",244.5,0.26,"[335.0, 274.0, 183.0, 272.0, 289.0, 449.0]",80.70824768518519
SAMO-COBRA_30_5,15,"[2.14064132e+03 3.22163499e+03 0.00000000e+00 2.37015234e+03
 0.00000000e+00 1.99840144e-13 3.60000000e+03 0.00000000e+00
 3.60000000e+03 1.79437894e+03 3.60000000e+03 3.60000000e+03
 0.00000000e+00 9.24971634e+02 3.60000000e+03 0.00000000e+00
 3.60000000e+03 1.64476570e+03]","[np.float64(17.249325700818492), np.float64(25.959991887565234), np.float64(0.0), np.float64(19.098729546083113), np.float64(0.0), np.float64(1.6103154265312505e-15), np.float64(29.008863819500405), np.float64(0.0), np.float64(29.008863819500405), np.float64(14.459137268457074), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(0.0), np.float64(7.453437826691265), np.float64(29.008863819500405), np.float64(0.0), np.float64(29.008863819500405), np.float64(13.25355115158272)]",271.6,0.43,"[325.0, 490.0, 364.0, 339.0, 327.0, 360.0]",32.4901475308642
SAMO-COBRA_30_5,16,"[2371.81178051 2294.29911553 3600.         2471.43784631    0.
    0.         3600.         3600.            0.         2497.3133203
 2831.68264454  848.38256571 3057.28811137    0.            0.
 3187.94326505    0.         3600.        ]","[np.float64(19.112101373937893), np.float64(18.48750294541042), np.float64(29.008863819500405), np.float64(19.91488997835427), np.float64(0.0), np.float64(0.0), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(0.0), np.float64(20.123395006437544), np.float64(22.817748948732326), np.float64(6.836281754330047), np.float64(24.63568179988896), np.float64(0.0), np.float64(0.0), np.float64(25.688503344500862), np.float64(0.0), np.float64(29.008863819500405)]",273.5,0.21,"[378.0, 231.0, 429.0, 550.0, 420.0, 276.0]",38.2137862654321
SAMO-COBRA_30_5,17,"[3522.87648919 1977.42865666 3600.         2395.74006248 2071.81542045
    0.            0.            0.         1556.61188068 3600.
 3600.         3600.            0.         3600.            0.
 1898.19010844 3423.22654489    0.        ]","[np.float64(28.387401202200873), np.float64(15.934155170500468), np.float64(29.008863819500405), np.float64(19.304915894288502), np.float64(16.694725386352268), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(12.54320612957261), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(0.0), np.float64(29.008863819500405), np.float64(0.0), np.float64(15.295649544206388), np.float64(27.584420184456064), np.float64(0.0)]",280.7,0.21,"[445.0, 460.0, 152.0, 291.0, 360.0, 454.0]",63.92757515432099
SAMO-COBRA_30_5,18,"[5.65453699e+02 8.32384330e+02 2.05940625e+03 2.18154783e+03
 0.00000000e+00 3.60000000e+03 1.19453040e+03 3.60000000e+03
 3.60000000e+03 3.99680289e-13 2.82546666e+03 0.00000000e+00
 9.79978013e+02 3.99680289e-13 3.60000000e+03 0.00000000e+00
 2.19752409e+03 2.58282438e+03]","[np.float64(4.556435927073219), np.float64(6.707367685171758), np.float64(16.594732044002704), np.float64(17.578951108753028), np.float64(0.0), np.float64(29.008863819500405), np.float64(9.62554714588465), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(3.220630853062501e-15), np.float64(22.767660433288995), np.float64(0.0), np.float64(7.8966802019316775), np.float64(3.220630853062501e-15), np.float64(29.008863819500405), np.float64(0.0), np.float64(17.707688035188184), np.float64(20.812444617558967)]",246.7,0.3,"[222.0, 286.0, 375.0, 387.0, 479.0, 285.0]",48.37246095679013
SAMO-COBRA_30_5,19,"[   0.            0.            0.         1284.79402292 2440.5251839
    0.         1924.39415955 3600.         3600.         3600.
 1287.03288171 3600.          306.72820229 1769.07373529    0.
 3600.            0.         3600.        ]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(10.352893013041225), np.float64(19.665795196593894), np.float64(0.0), np.float64(15.506802252587056), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(10.370933776875418), np.float64(29.008863819500398), np.float64(2.471621291655544), np.float64(14.255227520469571), np.float64(0.0), np.float64(29.008863819500405), np.float64(0.0), np.float64(29.008863819500405)]",246.8,0.18,"[179.0, 297.0, 269.0, 302.0, 406.0, 488.0]",67.69265246913581
SAMO-COBRA_30_5,20,"[3.60000000e+03 2.12185640e+03 3.60000000e+03 3.17908069e+02
 1.66597891e+03 0.00000000e+00 2.13389243e+03 2.02333070e+03
 3.60000000e+03 0.00000000e+00 3.60000000e+03 1.99840144e-13
 3.57440759e+03 1.98270364e+03 1.44151921e+03 0.00000000e+00
 3.60000000e+03 0.00000000e+00]","[np.float64(29.008863819500405), np.float64(17.097956489853715), np.float64(29.008863819500405), np.float64(2.5617088558116268), np.float64(13.424487585715767), np.float64(0.0), np.float64(17.19494300480514), np.float64(16.304034620005492), np.float64(29.008863819500405), np.float64(0.0), np.float64(29.008863819500405), np.float64(1.6103154265312505e-15), np.float64(28.80263976049296), np.float64(15.976661053585829), np.float64(11.615787367242252), np.float64(0.0), np.float64(29.008863819500405), np.float64(0.0)]",269.6,0.28,"[516.0, 325.0, 252.0, 441.0, 417.0, 296.0]",53.23631728395062
SAMO-COBRA_30_5,21,"[3.60000000e+03 1.39792776e+03 2.02789893e+03 9.67366484e+02
 0.00000000e+00 3.60000000e+03 2.52085439e+03 1.62398280e+03
 1.99840144e-13 3.60000000e+03 3.99680289e-13 3.60000000e+03
 1.65276718e+03 1.52502580e+03 2.18854269e+03 4.86241444e+02
 0.00000000e+00 1.99840144e-13]","[np.float64(29.008863819500405), np.float64(11.264526638538168), np.float64(16.340845519683384), np.float64(7.795056274522521), np.float64(0.0), np.float64(29.008863819500405), np.float64(20.31308938885591), np.float64(13.086082204204217), np.float64(1.6103154265312505e-15), np.float64(29.008863819500405), np.float64(3.220630853062501e-15), np.float64(29.008863819500405), np.float64(13.318027200970016), np.float64(12.288684936342209), np.float64(17.63531580948007), np.float64(3.9181421724527996), np.float64(0.0), np.float64(1.6103154265312505e-15)]",236.7,0.15,"[317.0, 343.0, 354.0, 357.0, 239.0, 245.0]",49.403309722222225
SAMO-COBRA_30_5,22,"[4.88127672e+02 1.99840144e-13 5.16827639e+02 1.09638716e+03
 1.97459762e+03 3.60000000e+03 3.60000000e+03 0.00000000e+00
 3.60000000e+03 2.55767930e+03 3.60000000e+03 8.34598732e+02
 1.77543706e+03 3.60000000e+03 3.16242675e+03 1.74267043e+03
 0.00000000e+00 2.54960725e+02]","[np.float64(3.9333414340095563), np.float64(1.6103154265312505e-15), np.float64(4.164606278511392), np.float64(8.834707195268647), np.float64(15.911342642098186), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(0.0), np.float64(29.008863819500405), np.float64(20.609825143484727), np.float64(29.008863819500398), np.float64(6.72521137642665), np.float64(14.306503299411235), np.float64(29.008863819500405), np.float64(25.482890816370954), np.float64(14.042469203678712), np.float64(0.0), np.float64(2.054478043137122)]",262.6,0.27,"[383.0, 435.0, 360.0, 267.0, 299.0, 408.0]",47.33291141975309
SAMO-COBRA_30_5,23,"[1.38073622e+03 5.99520433e-13 3.60000000e+03 4.29406587e+02
 2.03007773e+03 3.60000000e+03 0.00000000e+00 3.60000000e+03
 8.74999616e+02 2.96521201e+03 1.99840144e-13 1.76056935e+03
 1.62941440e+03 0.00000000e+00 2.31079770e+03 1.99840144e-13
 3.60000000e+03 1.72214605e+03]","[np.float64(11.125996964420013), np.float64(4.830946279593752e-15), np.float64(29.008863819500405), np.float64(3.460165891938137), np.float64(16.358402319043435), np.float64(29.008863819500405), np.float64(0.0), np.float64(29.008863819500405), np.float64(7.050762417836119), np.float64(23.893730905127363), np.float64(1.6103154265312505e-15), np.float64(14.186699035017952), np.float64(13.129850156484814), np.float64(0.0), np.float64(18.620448848378153), np.float64(1.6103154265312505e-15), np.float64(29.008863819500405), np.float64(13.877083440699119)]",245.8,0.33,"[171.0, 219.0, 276.0, 353.0, 369.0, 340.0]",68.04073734567902
